Название;Жанр;Участники;Синглы;Альбомы;Дата основания;Описание;Координаты.x;Координаты.y;Студия.Название;Студия.Адрес;Лучший альбом.Название;Лучший альбом.Длительность
Ncobhppdcktfcip;POST_PUNK;5;43;4;2022-06-16;;167.304535;37;Gcfhtvlsqnkp;Wewjdhgpnvzosxpdycjmxtrrbahgcp;;
Djldqsakyvqjqki;POST_PUNK;4;17;9;1988-02-14;Fojobwwsyasskquffqnbdwogurvjndtohziikbrinqaysmmc I;-170.263416;23;;;;
Wmopcnwfshmgjjd;POST_PUNK;2;20;4;2012-08-09;Lnjoyynkmbbuljwepbbwvstbxmhljsiqlucnncrpwgwwydikxg;-150.994728;47;Ktezjsyshwbv;Lanulgaxccgbluqdqodnhbkxyapjid;Zcgbswhesjidooc;45
Kaoxbktopjtevux;BRIT_POP;5;5;4;2004-10-24;Xwgyuji Obymykrzhtrku Rosixbxtjjnmuwpbrjcrthsewvte;52.335241;29;Ruopyyoxfopd;Tezkffusxusgiaptphzsuxhlexvrae;Fbhnidmbwtolxap;154
Sbiiadtlphurrby;POST_PUNK;6;30;20;2003-07-15;Rylixtrj Leenamsuiogwzbriveaijd Ihfavbvcefldjyymgm;91.512915;24;Kevjzygdahfk;Zgwjhxzkuhwbengmzlijuraypqoewd;Mooheffp Bxmlzg;156
Ydnoywqsadwqrw ;BRIT_POP;7;5;3;1997-06-07;Immdjeymatkkdyuprckimwnu Tvdjhpysdeyhyaztqhdwwkiry;-79.519985;-62;Hvkbqgcgqnlg;Cebxompwlgodbcpawnfvgswxozsbgf;Mgclzsgakqcvtdu;50
Hxyvzyewganjvrv;POST_PUNK;1;50;10;1981-04-28;Gslbociyswndsdusnrhkajrljybcyqpcpolxbaptigckziwqfi;136.333258;75;Nbbdhisehwez;Uxpowfeworb Wrceqlyqujoeidqhti;;
Qtaptfwo Dsipp ;BRIT_POP;1;16;6;1979-11-02;Qydypedohpwopeelbmonwphztfqxdwrtbdllncmjfxtrholusx;19.153516;-53;Gajmbelemjqh;Ljvsgtxndyagskxatvcrrufahnefhc;Zsavkplrlpswseg;127
Lsfrzvszbjgeuqw;BRIT_POP;2;42;5;1999-12-16;Nk Xaedujnfzrshmuycxaezvfmsbcmprvcgyesbyzsxzbzcfwj;29.558170;-21;Nxlcbimamhjk;Gzfqbnlnpqklhtqbvcwcnygkoavhgv;Duosrchjbabqows;172
Dxgpmuoteowzxuk;PROGRESSIVE_ROCK;4;41;12;2018-02-17;Nxbtkdjgioorslmliuzvxgmllpodxonouogqjbkjfulssjbmlj;-30.827715;-11;Mirbdfevwywm;Fyinlhzxohjxsvvpwfwseutiqwqhdi;Ffdszzmquqgiuvw;122
Xczpotubyttbvyd;BRIT_POP;6;10;12;2005-05-14;Qgfj Tdiekonmpfeupkiduipxacmjmlkxwttwufporkiktsino;36.877297;67;;;;
Qmim Yciybogsyr;PROGRESSIVE_ROCK;6;16;11;1990-06-20;Gwjjq Ccllrwteyqr Wkurwzzuhvhzszbinwhlkhgubwswdsho;168.368126;53;Mcwvevnxctai;Elbpiluvudy Trubqxpxka  Nvlihp;Kfpx Uvjjtkrhxk;154
Wbkmndqjvgvfqun;POST_PUNK;4;46;8;2021-02-28;Bdijyasogkmntvvvqgpicujtoefxfrwctbyytreokoyhlfgrc ;122.341881;53;Cpyryppdlthl;Ktrxvlfqsidhzjnbuzjfkqoxrgvsae;Kstcejnnyv Brpy;172
Stmggxjtietzcpm;;7;24;7;2000-03-10;Ulkvgpnzlroguymonjdbwdfawvjrtyiebqcvtuenxtieybfrum;-171.634157;68;Xizzaybrance;Fjtdyxgwwnhfbcotwzddlynatthqrw;;
Kzuvprxesuhynef;BRIT_POP;1;16;10;2011-05-01;Skdhgltlwn Sgoiihqbrtvcdbhxdtuibgonbebhodvhlwwbsdb;-48.710535;-7;Tlmpikxezlzm;Vkekjjagrnnyieosttuakjnwhqevxc;Mqvpdyegxtsqzck;65
Cltvjfybpgsoavd;BRIT_POP;;4;3;1979-01-27;Yyhmefjdrvyqlrdokfhjarikyruoumouvieuvsbqlesghvrylc;-85.730390;-28;;;Pwydsobnslbsdhj;79
Xbkkgrqcdecwgdd;BRIT_POP;6;34;15;1973-10-07;Dhkcgzsfhhtddblgzsoash Vjjasxqjwezqrnla Wywqvethgb;11.616965;65;Qnpumgmqocdb;Ntvbdxqtdwlwxbeavvrdztxneurceh;Wsjzpqaquhktyjs;101
Lhmxxmylwxyestn;;7;42;19;1967-09-22;Cjdhxyncjjuacdvqujvtebnjrdgzqumfpatw Rjioiscsxvzvt;23.901802;12;Hulqwernbqno;Gktiatyyevegmcetepxfazrqvzbpvn;Jzbvyzmmeipfdf ;179
Bnoovgmomjnzvwb;POST_PUNK;5;15;14;1979-02-11;Dxlnrmjkdpvqqdwt Hnepkvmpelaqjuoiomhkvwwfqkjhqngcy;52.825942;-35;Idymrnzdymus;Bzqindlahjicpphogh Oomajspotvr;Tfppskvbxxy Qjv;104
Aedewsmepnibxjx;PROGRESSIVE_ROCK;7;43;4;1998-02-14;Aqvfyxijgaqacyejznjamkhbnetxfamyxwtaehmsqvbvicgrnd;-99.148262;-78;Vditdqmujdvy;Bjhpunltvpxsjljgfgyptpgezlkttf;Qtttxrhywpbjuld;85
Btqgrdzwfonbkcf;PROGRESSIVE_ROCK;5;2;6;2015-08-19;Qywpwrkwahitnxshkhfldknoailrivvllmafogwlyxcal Ocj ;122.820287;69;Vwvkkybzrdbj;Ivcepmgvlzbtfiqxefjzyfryxvmdyo;Vnkxpuqlk Niuiw;36
Uqzmgihbebmaatp;POST_PUNK;4;18;13;2018-04-01;Iyelnfspruza Dsisi Xtsmjxeflqjgwobdgzmuxutmuvtdlov;18.147357;88;Goteqidkqpxn; Wmwqixbovriwbyuilfiebeujeoya ;Pbybchwjeokznlb;76
Svgdweqnbjeuoid;POST_PUNK;;22;6;1992-01-11;Vfikguueqpzeaaapqqxrppctmdpmpni  Nhyfjevfxpubuylhd;25.144766;-70;Gfrpequnysvi;Sfwsjhrlqiggdrjqadlccoztguisrn;Vcjwzlfkqxhzfty;115
Slsfjoewbfhlhbs;BRIT_POP;8;41;6;1975-07-19;Nd Pu Sgcngrbydgpoypcuzqlwdjzqriwjsibvcjmknkbpkkjq;-132.351420;82;;;Zw Qr Przti Ytf;126
Cevpncjrnjyynss;BRIT_POP;7;13;9;1965-06-17;Xceobstlnhqhkntadnaosiw Zbhcksnhqf Gjiszggxinpdows;143.156407;-58;Myyjsupbuasr;Wunerukhmrdeezxtlmbikximxurgmy;;
Dunwuljihyhfowh;BRIT_POP;8;37;20;2016-12-02;Yoaqcoxlqsuwsvhyf Ehrhagzuhvyeeko Jjshubwqaeeaqkjm;165.477291;-26;Pmpquhvvipzb;Hbserexegvotdqvfdpy Ccxuajnkne;Ykyobqsvgoaqmkk;178
Hxjqxmvoypheocc;;7;13;1;2018-05-09;Jgdurwvq Levchzslftooiveljqwdpfabzasgxnhdcoiwreaba;-82.113194;-3;Bnmcfzbhyk T;Zaiwqxqvdyrlvpj Ayggsyyzgdmjii;Rzktofetiqscig ;125
Dl Tssdvhaddazh;PROGRESSIVE_ROCK;5;47;8;2023-12-23;Ldlyuaeleoyzsvzufonqwk Jkcnabmdqhwytectqbnxkpvnfrl;-54.062169;38;Vkxmqleojqdq;Nsrtbhtsxdwpiergzzjnkeulhahkd ;Qurpqxblzllhirf;33
Tdloggxfosbewrl;BRIT_POP;2;28;13;1972-09-25;Shqtwwltxvsqilvwhdatiqdmwsslepxtumialvdlzpkljjksih;-123.200985;10;Xnrpeihggyf ;Gwtsebaaqmvuvdphpqxaqbiubbxfew;;
Cudfkaqbddqdjhe;;3;47;13;1970-06-27; Zutdsumtq Ywqytyynervhixatspulbfipitc Alaaekqd Yl;64.547249;-57;;;Wgtxspaqunmhxez;174
Atzaniribcxmubh;POST_PUNK;3;45;8;2013-10-11;Devhbargwjkcacuxuwpsoyvmm Sagpuupztdgmjbpxlaubyyez;-67.850352;7;Hkqpbyiqmdok;Puzsvogltectwhxgvbeyrmqoloze Y; Cjxysaculfflvi;179
Bsdxtrrskafkvld;POST_PUNK;3;24;7;2015-11-19;Nuxtmcochumrjzkrn Oghcvitrzvavmbwyxidkpqyryjm G Yx;-174.949002;17;Nfwtabmrbrjh;Fyhxnojwmqtovfnlvogmiirkemvhma;Kgiqzixhqksrhug;107
Yhumnle Tbjrxru;PROGRESSIVE_ROCK;5;24;17;1996-09-16;Yypxhqxoaoqwkanidydagmrprvxevizorihqtrgjmobyxuhnjk;-102.645153;73;Lcwhgttikoij;Igrvmeiidu Lulahlknqaiktemsnef;Nlevlgmenkzvkjx;84
Stbsjdykwvmawmb;BRIT_POP;2;41;7;1991-05-26;Ppmuelwnvzmwgdfrlh Xxiwigtcdqiamvg Nobhfuqryqropbo;-103.616853;-6;;;Uvzvebycoxuhjqu;32
Zqkuffnobuqpelk;POST_PUNK;2;27;14;1974-01-17;Ywurkqhoqzmtafzpsqyavkvdqwpcxfojykqljuomskjxgqsnqo;-147.212570;61;Mnquyusgvjrd;Ltzdleggbvkfogfdjmscyccczqnmvk;Zolaxwyhtidzxyc;136
Xqoduraqcpupfqp;PROGRESSIVE_ROCK;;27;13;1965-06-07;Zqpqwislifrqbpzxgrfdrjynhjdesgqxfnzgoahzmogzjbfosz;29.059518;-59;Mzngyngkvjdm;Ikukvylbuzbtnyrmzbjjhtxjngqejs;Fzzafejcezbfzor;168
Dueihpsjfuy Keu;BRIT_POP;7;8;5;1966-11-10;Eoqgivwqiqhpvkqzuepyiu Kqeculkivrwdxflhbuitezc Woh;71.412942;-47;W Jfhnuysfho;Kuvcxxpefaxjlykbojccopebctegod;;
Qwkkozccloevtch;;3;10;14;2013-06-27;Y Kliksbucjm Jmjhpwaxbydzsweeqhzdrlqecdhbaghlohjtd;-21.573997;6;Scxcbbgyogez;Zvhvidodsexmhoxqapnwodlhqfqtaf;Jvssulzbhiagzyh;108
Ttzrnjoynkrjwlk;POST_PUNK;3;45;6;2000-03-28;B Etyxdwoqodxbatafvkfrdhttfjqwoyxsrjzzawrkpkaeswrr;53.205312;79;Flfbjwczpnle;Aufacrnfhereepkjinkbevcvjwnawc;Ckvsecnvgejohev;109
 Vvquqbuovnmkzb;BRIT_POP;2;47;12;1999-09-07;Caakwfaqsscupblaxzlbpalrxrsvllpfmwcymrvnavgmfwzxsb;72.649582;52;Wpnisbucutit;Vnyplthpczjcpgdrdzfmxxafld Svy;Rxffmlpdvzbhudc;170
Xxvvdobgvlbflq ;PROGRESSIVE_ROCK;5;38;15;1982-11-14;Ahxrqivcdtryrsezayr Ciutaoelxklgvrgbmtpuvrjljofksn;-118.181058;-16;Tuinfrudulru;Ukyguzjmphaisnnjhsncpcavkhbovu;Juiqrmponrqasss;113
Soomlptgrvdjnft;POST_PUNK;;17;10;2023-05-14;Ufsuhryriqjzudrypfielqmfgugbzgjljcdjmissozbaligohk;99.333563;-11;Usrqmwygkuse;Zkzifwktpshsfzhhjddsteihifkaea;;
Mvwhthcyifvmdtw;PROGRESSIVE_ROCK;1;8;17;2002-01-22;Siwjxlowevsikjrhehxcomlcabsulxzr Pozshnuyxicmbonmt;-26.775063;2;Borkudknyewc;Dswfrtbtpjsgnxsdvdmqpuuitgmuiu;;
Teyfgapyqmrlhrc;PROGRESSIVE_ROCK;2;40;11;1979-02-25;Hmasyjmgcqhhsyewczvsicedpxcmed Okbvapjnngtllukkuxp;-175.874563;47;Nffgsorrr Cm;Wiinkddkdgonqqeenbytjxihqxjdkl;Kfabgvjaknrpvrk;157
Vaqxparaljoptno;BRIT_POP;4;50;14;1988-09-17;Yremvemnqimmmuaqobrgnlvtczsfjyfolzmccnkrwwp Jlouwz;-29.739938;-34;Rbmhlgxxzdha;Rrajol Ftaaokuqarykcuytymuujxv;Qnamsdwcgbheeoh;176
Omppdi Ceazvkqo;;2;40;11;1977-03-01;Culfyicncvsgxhyhqyoymotnxkk Zoqtrlzigysmrfzzm Xyex;155.929939;-12;Dccegppxcnkw;Hobdqilnpwpaxurytrhivjtemmbyta;Hinvquyiodmgmwc;90
Ckrfumhhvits Gf;PROGRESSIVE_ROCK;7;3;13;2001-03-13;Bpygnqvrbgjbvhsltxkcggfdv Iqtovzyxfdvshcsqpcxa Pti;-6.294725;-45;Pynvcfzsutmx;Llftlvtkttiygibbaltgjyldgzaubu;Jisjiqhcakvruph;118
Kipeobhkemfwtul;POST_PUNK;5;4;10;2017-08-23;Itiqqm Trwzypzqlyawakxlkhnwdlbrcyawxggfgznbsoshxkz;10.838468;11;Bjdwhqckcjud;Bzkcsossindvberkghucrcelrydaxn;Ppleozhcajqjhna;106
Ljntfxdbyvqfpop;;;38;8;1996-02-25;Awnblveuikyblffzbuvjlogvbqcyqsowfqbuhkpciiiauoxvly;146.080976;88;Vcqnplpucfec;Ajhszcrykchpgosdzrljpazgspdogb;Oxejq Oymhzemji;131
Vzadea Vbusnmcx;POST_PUNK;1;40;3;2005-06-25;Yfkjxqetsnjlradsvypiimvohwityzvngcw Cyzrwnevmtfhcn;-69.103831;-41;Rhekznayvsyx;Dqryekcqmjxgltysfkmkluyapgvpmb;Tyiiqzdzxddetul;71
Dslyehmizohfjgs;POST_PUNK;;19;11;2011-03-02;Pzypmfythqvtqfclznaqzfbg Ohphfjhincocxiojdwsrennzy;15.000746;48;Zk Kbskh Wsf;I Xrwbpksoqykl Kdkczsodfbskcyd;Usju Skhrogccmv;161
Ppdcujz Wrozfto;POST_PUNK;8;37;1;1988-12-27;Tsultslyqnimvrjoduultzoxuddzmpiqpvelunzprwascabrgj;-177.931965;-45;Pyuydlx Pwug;Nxcvpzmnbdiyhtuqmkbbimurpinnfw;;
S Vxldfikwcjkfw;PROGRESSIVE_ROCK;1;4;15;2006-02-16;Yniajeumicudnoehgezitlwswajibofduaorujchtwjheccreu;-60.604348;23;Ecmffixselvd;Unqkucpsfewvlescgqsylmnwxwljte;Bzokojimudmhmdt;104
Xm Zjaoeqbhoyqk;BRIT_POP;3;43;18;1964-10-02;Piggozfztdukcjlepxmbfrguazxsstyuaiubuscrgrmuvsqjve;-78.111141;57;Jcapkyuyflpa;Iarqzvmvyxblxuvumatuxjqruoorke;Mrtgrietfzuiqek;96
Flruvqbpjxeorha;PROGRESSIVE_ROCK;2;6;3;1963-09-01;Jfrewkidrscmeceqfshhazslvgtmshalyzfnvtobtwhtbrvbiu;-137.317462;-1;Iaraqnqhvjdw;Irvkpavuiwatiuwhthubpr Sclfcmo;;
Z Vx Nupciweqib;PROGRESSIVE_ROCK;6;4;8;1985-11-15;Mgjkfpow Ofysdpoiaeanofcmwhhsprhrtdrlajnaaenucnlol;-106.132514;-13;Utklupz Ewkq;Flkaemnuanuaqzqfqkmylvyxvwjhje;Tjeqnchu Ujegc ;36
Qwqcbntayhuvkye;BRIT_POP;;26;20;2023-01-04;Libvvndoqsyktucqlzunwqxsigyhfxfsdbjkqanvaockgubwqv;2.129384;6;Juaaxlvighxw;Tyfn Pukaabqtiecru Eyxpakjdjxw;Mgzyrxcjsivljgb;175
Kmbalmxvxvevknl;BRIT_POP;1;15;11;1964-10-11;Pvvmhh Lwjhgyfmoijjhbmvhglo Ozrcomrdilxzwpxyvcsknv;-146.670369;73;Gmntjkponpuh;Qtqgmtjtkgzwdosedvklcastzywopl;Dxqgsxlukuwltvi;93
Q Eeezgxpgevoxz;PROGRESSIVE_ROCK;3;49;20;1995-11-23;Uzg Kgkwwylxperrcwaqqxxpoesgnsjxruwsphjomseuixtxes;155.175360;-68;Wabupcpekngh;Hyohjinvobmxrlkeacldzvdz Ztqyn;Ljnljlkhdsrklke;151
Omvzufnsnshccff;PROGRESSIVE_ROCK;5;38;4;2010-09-08;Pusbxjyolugvwiqzjatvuazwuekslshgudrxdinjqmqxcjsntu;134.340856;55;;;Tftfexmzcpvdxsx;143
C Obfjoqwjmikhl;PROGRESSIVE_ROCK;8;1;6;1989-11-12;Utvbdasjkxxtlrkhhanyxk Sgxhznpunghyyxrlyrrdvbbwcav;105.690741;38;Apisboknobct;Vtjzgfhlogmvsjqehldlnxosyuzblm;Mnleobcfnsosfxw;169
N Rlsmlqrzjzczn;POST_PUNK;8;8;20;1991-03-24;Ohyhsljqabxlpeogfeatmmsdyretqonxilfutqxttiusewmtrh;-85.083073;81;;;Mwzeduwgpthujsj;61
Psdjstppmzdjzea;PROGRESSIVE_ROCK;8;44;15;2023-10-26;;-149.155059;-88;Nzpaibazirfb;Zoe Jdl Xxsxfsnehauaxjbedbums ;Snjxjozsythqrjj;170
Salnnovpgatgrwu;BRIT_POP;1;39;17;2022-04-18;Vcvoqwsmbt Zrzulwgvgntqmznmwcohygirphcfsspwcnwqtsx;69.643260;59;Rumxrrgrdv Q;Rqndxerwzaofirebxlaixxkpaduutj;Okcseqvpxrixiay;67
Tmbmkmsjulclqng;POST_PUNK;4;38;16;1972-02-07;Uqidyvww Fbmqpilxncxkdzwvkmuongfpwvmdemldjwmeqiklr;-101.777727;83;Fu Dfhyeaydo;Zzsumt Emutbrbjbfdlobgdltwahdk;Cyyweswbpdtqoom;155
Lwgoekfmbwfagal;PROGRESSIVE_ROCK;5;36;15;1992-10-11;Nzfbrufiyfnspksweiydjke Tlkpohymhpqtgdyjvdkwqvmima;143.845843;13;Mdpzqnixmaor;Zkwtvgbirn Fxrbqnilrnincccdazu;Pujlwjlqjuvdzwm;64
Vdxkvwksmathewp;POST_PUNK;7;8;6;1994-01-11;Pldfzdlidujoszo Injvpwmwcdrkteisnrksojeikelrply Qd;176.284734;-6;;;;
Pauollcynphxgix;PROGRESSIVE_ROCK;6;40;9;1961-08-13;Canvtthdpmcoolvckajyfvlbxgjcbtuxavlcihguqjndhmtayh;164.960286;4;Dunvmvbvmgnp;Tazlnnraudhewhvrdkaanbjsjeugvp;Lhetqiwnaehaavd;95
S Faoftioimxowd;BRIT_POP;2;34;2;1985-05-05;Pcrmhfwvgjzaagffyqvaaebgwvgqhwmdfdfgmcuxzoupdicsuq;162.081426;20;;;T Wjlwvnxmdbr L;60
Ddgcbcyvcgfx Ly;BRIT_POP;5;41;6;1998-07-12;Sljxwjfmojvrtgslrglqccqqdow Ezpzdiueiupowwsqoojtdb;84.978750;55;Wghzrbvyltdh;Qzhtlvgsvgkdwuzziukf Adjgwtlkc;Mzkcozafugmxlxv;160
Kfibwofpolaljch;PROGRESSIVE_ROCK;8;44;6;1971-12-23;Hzvrjoqaehcgmvqfdmimqoffzcbkkdoxctrarqqwgyqnxofwps;120.261921;-18;Aptroyfdfpie;Rwgvpttjhoqaizoygumtxcuka Gjmq;Fdnmhxjdneyplaz;62
Gon Ivbnstvwcwq;POST_PUNK;;33;13;1981-08-01;;-19.934634;-49;;;K Giu Zzjrvckfl;72
Pgwpmovqbrpqmub;PROGRESSIVE_ROCK;7;6;8;2006-11-08;Gqwtetjrzkunngqvlssmyizdesrrpt Ccpewyblbbgzscyhtqo;115.470206;59;Hzntbhbdsi W;Qquuebuofgznhceplclplnqmtdjoen;Fobwgjqhqsplzyx;83
Vsethrnbinastuq;PROGRESSIVE_ROCK;;23;13;1994-02-06;Kobdgwj Cpzxyauihncsdqihhnhlbaptheoipjjanirbl Gmpl;-44.254760;82;Fwf Lsqfshte;Wrufqrtcjkqokqvhsyat Hjhxskv U;Foibzwjvdcwwvtq;101
Moynosqxsmkxs C;PROGRESSIVE_ROCK;8;45;3;2013-08-09;Tgvgttlhwywverugyhyhbpkwxvvndbmightngoirbhwxviekbm;-134.160579;-75;;;Mevsuwnuzgpsjel;46
Qspmjvnwlmiobfd;POST_PUNK;4;21;18;1984-06-02;O Tzhtocsdovnpfzqajkeesomcskaqhgwwcbxrqkkfaddkdhdq;28.529729;33;Gplvqtrlclil;Phxjzgnbzgotoplmaacoajmfvvsmuu;;
Bmf Mqelazchxfi;PROGRESSIVE_ROCK;8;37;18;1970-09-23;Xhz Ugxuasbmmkwwvknlwflrgarvlburvlaxleireo Izvixds;-94.383879;82;Yrigqwaeznqx;Vuawvkdvksxgcx Qzlwgqrbcuxehyp;Jwtupjmgrakswuc;62
Kglsvbyetxvwrrr;;1;23;19;1974-10-14; Aceviptbltfjzhdvdnoutvcgmpiiduklxvylagzklagndihqn;-101.512301;-8;Djnygwlztafp;Qrphweppzsfcyixxpvd Rzcmjxrsfl;Pjuvbtdlwrcxqjp;57
Nqkngotdv Bhcwk;BRIT_POP;;1;14;1991-02-21;Zdspjukrnqkibekaozbij Uuzcvoppobkzcjecuziashtevqvt;-131.377085;-18;Xqnnxlboyoqm;Tiiydxrodlvdtkqzftyxghoumgydju;Toicygouoyszkup;57
Sgywjlcmfqqmmtg;;1;26;1;2003-08-10;Zqttkulg Rtlyedgilwisahicfzceigqseqeklvybnhme Rnvj;-86.040712;61;Rmikdtphaxad;Hkzj Uyinwcckmw Ousdytsqsyfofk;;
Fudxuwqqgxohtsz;POST_PUNK;7;11;10;1987-12-21;Ikuqdizngtbtwcombdfdheeptdabjcxeqmhdjkhqxmnzefdxuo;150.092605;22;Qvtdppiqwdeu;Sp Gzqezibaeocqznztriivqacyzbw;Bseoqakmaqjxhte;166
Hmhsuaocaslytjr;PROGRESSIVE_ROCK;3;38;16;1977-01-04;;-1.934102;2;Iyhiletqushs;Wvxpdjulbdritudaedzfltdj Zlelq;Tfwiuwupskcqphu;167
Qabitwsntzyj Bc;POST_PUNK;1;42;5;2010-04-02;;115.174194;41;Ucwlkoqooxfc;Eioarrawiwfdemxycvfpyaihkqqwyw;Olmv Ibalmynufe;123
Dqqidyyterxkrhd;POST_PUNK;;17;3;1969-02-14;;-71.911333;-69;Crhggxnob Ol;Obutxvodpctdvkqvyjmhpwsyqdrurd;;
Ehzfqxqalizqtwm;PROGRESSIVE_ROCK;3;8;4;2009-10-03;Fkbhwnld G Cgsqcjdkoerjphndiolxpcrnyabpcqcpvkettfx;-0.293849;4;Wvtqanlmreqq;Pbexqapgnxkzpaxhhuqssfvjoc Oce;Lkuezpltvjjlhpl;119
Ygndnzbpmrnnkzj;BRIT_POP;8;40;1;2022-10-11;;-83.343906;-16;;;Kfemndchbus Aku;52
Xuekzztuntkxjul;BRIT_POP;;38;19;1972-03-09;Nukieyccjpualecqlfcgigvg Jrzcmotsqswqfwilsjqtyrgtq;-22.636535;-90;C Yjklsvcfhb;Hbz Yqblsofjymgfyugftcqlnedfhe;Mopufzswtfqkraj;65
Irckxaglsybggnk;BRIT_POP;;42;17;1996-11-11;Epzedpdfvttibjhustjldgjtudoshrzybysnrmretfnyatumwm;-6.543382;68;Xphntbbbrlqd;Fruirbfzlbdcubzvje Hrtwwchearo;Si Trdujqiewdjf;66
Ymdhy Aykicmulw;POST_PUNK;2;15;12;2015-07-10;Qdryemxstjhwve Ljbm Mbahinrcoguouytihhfgykjqcbvi C;35.995146;33;Igmlsknpdopt;Xkuunwilwcpuprdkuucmsjsudfqwfi;Ljmamusqetgudpf;170
Qwib Qvubpgpqpa;BRIT_POP;3;24;20;2003-02-25;Pjpqiturzc Xidurjnzgswirpwb Dlbsgsvuyzvvjzefvsqwbg;5.908977;-35;Vimgrrcugpir;Ligwvgdflxwckrojdbmc Mgibkbrlb;Iy Ufcgdzhorbcv;159
Dnamrlwqmmrmhrm;POST_PUNK;7;10;6;2003-08-03;Cm Oa Abrxn Gaxsbmtcnsaukhhcmeuyclfzlxkzylyszpr Zn;-162.863234;-66;Qfo Lphkzgrm;Jqqndtsp Gct Jiombeouqkykkeyoy;;
Mgkmzjoajnhzbdw;BRIT_POP;6;2;3;1987-04-26;M Zowyzhncdvqhadvdzimzdyqra Soxhxp Qudlfnbylqboxlh;162.782984;-79;;;Maomwourxlyszbo;177
Fhnqkxwapdgmraz;;5;10;14;1964-11-09;Ckbhooqybdyuviablnbtvsvkzalsmskxegyjhorcmfhzbqambc;152.434518;45;Wonaznbbhbov;Bpurhmcwbkbkxoblsqvxdhqmeezbkj;Blwwzyfpwguhyxf;113
Rcohkllbevmwgut;PROGRESSIVE_ROCK;3;4;9;2020-08-23;Tknehwuvwxfqqxnqtnexmdepldrrfwtcxixawyppzuztzcfuny;-165.996694;17;Nduwsbjfsipg;Zhjcbgdbpjadwydohbyuoqjwihgpri;Mcpmucclkiwrgdo;67
Jfrslvfjquelyei;BRIT_POP;3;8;3;1962-08-19;;-21.353506;64;Bvbbpdloq Ja;Olkafyhjgpxroh Lzwwccxvilkzqjs;Unpebketrzhvgkb;86
Hjmp Fzbtvjzggu;PROGRESSIVE_ROCK;3;48;11;1995-02-05;B Qxrmsvhmkotgmytieitiqxfxlvuvlhscwzmkpapzejsqukgs;71.074739;39;Bqyhcjdqplda;Fuleefdkvuzykmeigsfaerlfowltpm;;
Givnckcmbsxehom;POST_PUNK;2;49;4;2009-05-14;Mthxjmnwvxhasvcvbvybprkhpv Rolddmmvnttgovsphnevxrh;-68.221876;58;Pxdxv Ekniof;Wvnmktecfcllntibxnpdrtufsqwywg;Spdp Jdmelrrwwk;83
Yldmcfpjnktybfv;BRIT_POP;1;7;7;2013-08-01;Iakkntpkkorjizglntmykyxszaxngzfoqqwdtzkbhmonqswrh ;-44.219309;13;Fxplxrtdyhgg;Lcc Uinarapqnmufnyiqhamoobtlk ;J Brpqwoxmhf Hk;75
Amhqpilrt Sbqwc;BRIT_POP;4;49;4;1996-07-25;;142.948296;-87;Eeqdokvzrcqn;Cdpzgdidlppzfjaunsfrqtbfsrvetf;Xeunzvqfwskfqnd;66
Wsovndesjzpyppq;;2;33;10;1973-09-22;M Nabhqcksehvegjxlfiwiaragvnxyhobspbbquxoeqtglbsxy;-86.040396;5;Jmtweeksrlyn;Bbgrvoaboyhmjmuhwqlijasjpcshcb;;
Hhwcxckbweexucn;PROGRESSIVE_ROCK;;50;13;1960-06-25; Auqrmyxuxovwiwvovnmkdrpqbvkqkeuok Jltkuiqccdcmrel;-16.259100;-90;Tsaeevqfhbnw;Ocxwyjtphhcdby Imysjnkcumrrv R;;
Kkdlldcrzvnrfdf;BRIT_POP;7;48;12;1976-04-14;Mfpktqrrivlsyommvkyypyazwmexntqzkvjimamgkpz Dfvktd;151.704518;-10;Fjdpxcapnfnl;Euohtuivybmkegjpcxfptgomzjslpm;Emrrqovhgivnjoi;54
Mljjjxdfwlzkgnd;BRIT_POP;5;14;10;2015-08-27;Fakhaeogmovacojuwtkwxtfgrlmjqjiyrzli Wlvsavnsotdqa;108.677676;23;Ogslhisezplx;Xbbvmpwjlxlirydevxfqazdzxnennd;;
C Dsaeonnydmimo;PROGRESSIVE_ROCK;7;35;19;1978-12-13;Cwcvruncrfdlvjotzstgpvtapafbujnbn Alagtkyyewxdyad ;-15.527394;-61;Tjjmtrvhnvrp;Kpkkvbawiopyxqdhdddahwljkayjbn;Yegmvcineljhjrv;113
Xuzacmimakufyrd;PROGRESSIVE_ROCK;6;33;1;2004-02-03;Pqiyzvtxigqfmkebqezjpaxaayyzkxmfewomuagrzntsewtgxk;148.450507;-64;Kjrujrygcdkk;Mcejj Ipcrwm Yntvhinlnabshdmou;Xykehmywjeg Ujn;140
Fdkwlccjpglxodu;;7;5;1;1988-07-20;Lgvrurdibihxzwgopgaocsacngznrggexcvbcbsdfqurdooyft;-88.443952;43;Wsbsg Mwzdkf;Efnaopnbdfwaukyosvimywxoyocwts;;
Kofyxfhsljczefy;PROGRESSIVE_ROCK;2;13;17;1979-06-26;Waljlnnbncerohkupfxptiyspvylsoupqmlcbfnpzrprvnfkse;-153.276476;-12;;;Ynrtgkjeptickew;153
Ijgbvtvmafqqtag;POST_PUNK;2;7;10;1992-10-24;;70.079019;33;Dbbpramypujw;Gtapzhibidzvlrwlezmpclxpqrnbzu;Wympvpboafgxgda;94
